,0
929,0.9194227
930,0.27411306
931,0.73620784
932,0.71856165
933,0.74825394
934,0.696969
935,0.78145194
936,0.63190377
937,0.86062515
938,0.44381317
939,0.91331923
940,0.2929187
941,0.7663342
942,0.6625446
943,0.8272432
944,0.52877396
945,0.92193663
946,0.26628706
947,0.72289956
948,0.74116844
949,0.70979977
950,0.762141
951,0.6707438
952,0.81713223
953,0.55288047
954,0.9146535
955,0.28883123
956,0.76000875
957,0.67486316
958,0.8118647
959,0.5651396
960,0.9093003
961,0.30515102
962,0.78452533
963,0.6254678
964,0.86675406
965,0.42731842
966,0.9054543
967,0.31674528
968,0.80074555
969,0.5903428
970,0.89480126
971,0.3482883
972,0.83983916
973,0.4976846
974,0.92498016
975,0.2567499
976,0.7060688
977,0.7678819
978,0.6594854
979,0.8308883
980,0.51989794
981,0.92353505
982,0.26128682
983,0.71415925
984,0.75530255
985,0.6838363
986,0.7999556
987,0.59209853
988,0.89361614
989,0.35174546
990,0.84367615
991,0.4879808
992,0.9244654
993,0.2583677
994,0.7089712
995,0.7634249
996,0.6682471
997,0.8202638
998,0.54549503
999,0.9173418
1000,0.28055546
1001,0.74682313
1002,0.69958985
1003,0.77760637
1004,0.6398584
1005,0.8526266
1006,0.46492153
1007,0.9204472
1008,0.27092946
1009,0.7308488
